#Path C:\MINIGUI\UTILS\FUNCLIST
#Title MiniGUI Source
   _DECRYPT                   	Function            	
   FI_CODE                    	Function            	
   FI_DECODE                  	Function            	
   DB_ENCRYPT                 	Function            	
   DB_UNENCRYPT               	Function            	
   cFileName                  	Static  Function    	
   DB_CODE                    	Function            	
c_crypt.c                     	                    	
   CHARXOR                    	HB_FUNC             	
c_cuebanner.c                 	                    	
   GETCUEBANNERTEXT           	HB_FUNC             	
   SENDMESSAGESTRINGW         	HB_FUNC             	
c_cursor.c                    	                    	
   LOADCURSOR                 	HB_FUNC             	
   LOADCURSORFROMFILE         	HB_FUNC             	
   SETRESCURSOR               	HB_FUNC             	
   FILECURSOR                 	HB_FUNC             	
   CURSORHAND                 	HB_FUNC             	
   SETWINDOWCURSOR            	HB_FUNC             	
   SETHANDCURSOR              	HB_FUNC             	
h_datepicker.prg              	                    	
   _DefineDatePick            	Function            	
   _DefineTimePick            	Function            	
   InitDialogDatePicker       	Function            	
   _SetGetDatePickerDateFormat	Function            	
   _SetDatePickerRange        	Function            	
c_datepicker.c                	                    	
   INITDATEPICK               	HB_FUNC             	
   INITTIMEPICK               	HB_FUNC             	
   SETDATEPICK                	HB_FUNC             	
   SETTIMEPICK                	HB_FUNC             	
   GETDATEPICKYEAR            	HB_FUNC             	
   GETDATEPICKMONTH           	HB_FUNC             	
   GETDATEPICKDAY             	HB_FUNC             	
   GETDATEPICKHOUR            	HB_FUNC             	
   GETDATEPICKMINUTE          	HB_FUNC             	
   GETDATEPICKSECOND          	HB_FUNC             	
   SETDATEPICKNULL            	HB_FUNC             	
   SETDATEPICKRANGE           	HB_FUNC             	
   SETDATEPICKERDATEFORMAT    	HB_FUNC             	
h_dialog.prg                  	                    	
   _DefineDialog              	Function            	
   _BeginDialog               	Function            	
   _EndDialog                 	Function            	
   DialogProc                 	Function            	
   ModalDialogProc            	Function            	
   DisableDialogItem          	Function            	
   EnableDialogItem           	Function            	
   EraseDialog                	Function            	
   _ReleaseDialog             	Function            	
c_dialog.c                    	                    	
   INITMODALDIALOG            	HB_FUNC             	
   INITDIALOG                 	HB_FUNC             	
   GETDIALOGITEMHANDLE        	HB_FUNC             	
   CHECKDLGBUTTON             	HB_FUNC             	
   UNCHECKDLGBUTTON           	HB_FUNC             	
   SETDIALOGITEMTEXT          	HB_FUNC             	
   ENDDIALOG                  	HB_FUNC             	
   ADDDIALOGPAGES             	HB_FUNC             	
   GETDLGCTRLID               	HB_FUNC             	
   SETDLGITEMINT              	HB_FUNC             	
   GETDLGITEMTEXT             	HB_FUNC             	
   GETEDITTEXT                	HB_FUNC             	
   CHECKRADIOBUTTON           	HB_FUNC             	
   ISDLGBUTTONCHECKED         	HB_FUNC             	
   CREATEDLGTEMPLATE          	HB_FUNC             	
   INITEXCOMMONCONTROLS       	HB_FUNC             	
h_dialogs.prg                 	                    	
   GetColor                   	Function            	
   GetFolder                  	Function            	
   BrowseForFolder            	Function            	
   GetFile                    	Function            	
   Putfile                    	Function            	
   GetFont                    	Function            	
c_dialogs.c                   	                    	
   CHOOSEFONT                 	HB_FUNC             	
   C_GETFILE                  	HB_FUNC             	
   C_PUTFILE                  	HB_FUNC             	
   C_BROWSEFORFOLDER          	HB_FUNC             	
   CHOOSECOLOR                	HB_FUNC             	
h_draw.prg                    	                    	
   drawtextout                	Function            	
   drawline                   	Function            	
   drawrect                   	Function            	
   drawroundrect              	Function            	
   drawellipse                	Function            	
   drawarc                    	Function            	
   drawpie                    	Function            	
   drawpolygon                	Function            	
   drawpolybezier             	Function            	
   HMG_DrawIcon               	Function            	
   EraseWindow                	Function            	
   DrawWindowBoxIn            	Function            	
   DrawWindowBoxRaised        	Function            	
c_draw.c                      	                    	
   BEGINPAINT                 	HB_FUNC             	
   ENDPAINT                   	HB_FUNC             	
   DRAWFOCUSRECT              	HB_FUNC             	
   DRAWSTATE                  	HB_FUNC             	
   GETUPDATERECT              	HB_FUNC             	
   GDIFLUSH                   	HB_FUNC             	
   GRAYSTRING                 	HB_FUNC             	
   INVALIDATERECT             	HB_FUNC             	
   REDRAWWINDOW               	HB_FUNC             	
   SETBACKCOLOR               	HB_FUNC             	
   SETBKMODE                  	HB_FUNC             	
   UPDATEWINDOW               	HB_FUNC             	
   VALIDATERECT               	HB_FUNC             	
   WINDOWFROMDC               	HB_FUNC             	
h_edit.prg                    	                    	
   ABM                        	Function            	
   ABMRefresh                 	Static  Function    	
   ABMEventos                 	Static  Function    	
   ABMBuscar                  	Static  Function    	
   ABMBusqueda                	Static  Function    	
   ABMListado                 	Function            	
   ABMListadoEvento           	Function            	
   ABMListadoImprimir         	Function            	
   Cabecera                   	Static  Function    	
   NoArray                    	Function            	
h_editbox.prg                 	                    	
   _DefineEditbox             	Function            	
   _DataEditBoxRefresh        	Procedure           	
   InitDialogEdit             	Function            	
c_editbox.c                   	                    	
   INITEDITBOX                	HB_FUNC             	
h_edit_ex.prg                 	                    	
   ABM2                       	Function            	
   ABM2salir                  	Static  Function    	
   ABM2Redibuja               	Static  Function    	
   ABM2CambiarOrden           	Static  Function    	
   ABM2EjecutaOpcion          	Static  Function    	
   ABM2Editar                 	Static  Function    	
   ABM2ConFoco                	Static  Function    	
   ABM2SinFoco                	Static  Function    	
   ABM2AlEntrar               	Static  Function    	
   ABM2EditarGuardar          	Static  Function    	
   ABM2Seleccionar            	Static  Function    	
   ABM2EditarCopiar           	Static  Function    	
   ABM2Borrar                 	Static  Function    	
   ABM2Recover                	Static  Function    	
   ABM2Buscar                 	Static  Function    	
   ABM2ActivarFiltro          	Static  Function    	
   ABM2ControlFiltro          	Static  Function    	
   ABM2EstableceFiltro        	Static  Function    	
   ABM2DesactivarFiltro       	Static  Function    	
   ABM2Imprimir               	Static  Function    	
   ABM2DefinirRegistro        	Static  Function    	
   ABM2DefinirColumnas        	Static  Function    	
   ABM2Listado                	Static  Function    	
h_error.prg                   	                    	
   hb_GTSYS                   	Procedure           	
   MsgMiniGuiError            	Function            	
   _HMG_GenError              	Static  Function    	
   MiniGuiVersion             	Function            	
c_error.c                     	                    	
ErrorSys.prg                  	                    	
   ErrorSys                   	Procedure           	
   DefError                   	Static  Function    	
   ErrorMessage               	Static  Function    	
   ShowError                  	Static  Procedure   	
   ErrorLog                   	Static  Procedure   	
   strvalue                   	Static  Function    	
   _lShowDetailError          	Function            	
   HTML_ERRORLOG              	Function            	
   HTML_INI                   	Function            	
   HTML_LINETEXT              	Procedure           	
   HTML_LINE                  	Procedure           	
   HTML_END                   	Procedure           	
   _SetErrorLogFile           	Procedure           	
h_events.prg                  	                    	
   Events                     	Function            	
   _SetNextFocus              	Procedure           	
   _PushEventInfo             	Procedure           	
   _PopEventInfo              	Procedure           	
   GetObjectByHandle          	Function            	
   InstallEventHandler        	Procedure           	
   InstallPropertyHandler     	Procedure           	
   InstallMethodHandler       	Procedure           	
   NoBrackets                 	Static  Function    	
   GetMenuItems               	Static  Function    	
   _OnDrawStatusItem          	Static  Procedure   	
   _OnGetMinMaxInfo           	Static  Function    	
   _MouseCoordCorr            	Static  Procedure   	
   _ProcessSliderEvents       	Static  Procedure   	
   DoComboAutoComplete        	Static  Procedure   	
   _AutoAdjust                	Procedure           	
h_folder.prg                  	                    	
   _BeginFolder               	Function            	
   _DefineFolder              	Function            	
   _DefineFolderPage          	Function            	
   _BeginFolderPage           	Function            	
   _EndFolderPage             	Function            	
   _EndFolder                 	Function            	
   _DefineFolderDialog        	Function            	
   InitPageFldProc            	Function            	
   FolderProc                 	Function            	
   PageFldProc                	Function            	
   GetFolderHandle            	Function            	
   EraseFolder                	Function            	
   _ReleaseFolder             	Function            	
   RetValue                   	Static  Function    	
c_folder.c                    	                    	
   CREATEFOLDERPAGEINDIRECT   	HB_FUNC             	
   CREATEFOLDERPAGE           	HB_FUNC             	
   CREATEDLGFOLDER            	HB_FUNC             	
   FOLDERHWNDTOINDEX          	HB_FUNC             	
   FOLDERGETCURRENTPAGEHWND   	HB_FUNC             	
   FOLDER_CHANGED             	HB_FUNC             	
   FOLDER_UNCHANGED           	HB_FUNC             	
   FOLDER_ISDIRTY             	HB_FUNC             	
   FOLDER_ISFINISH            	HB_FUNC             	
   FOLDER_GETIDFLD            	HB_FUNC             	
   FOLDER_GETTABHANDLE        	HB_FUNC             	
   FOLDER_CLEANUP             	HB_FUNC             	
h_font.prg                    	                    	
   _DefineFont                	Procedure           	
   _ReleaseFont               	Procedure           	
   _EraseFontDef              	Procedure           	
   GetFontHandle              	Function            	
   GetFontParam               	Function            	
   _GetFontAttr               	Function            	
   _SetFontAttr               	Function            	
   GetFontParamByRef          	Function            	
   GetFontList                	Function            	
c_font.c                      	                    	
   INITFONT                   	HB_FUNC             	
   _SETFONT                   	HB_FUNC             	
   _SETFONTHANDLE             	HB_FUNC             	
   GETSYSTEMFONT              	HB_FUNC             	
   ENUMFONTSEX                	HB_FUNC             	
h_frame.prg                   	                    	
   _DefineFrame               	Static  Function    	
   _BeginFrame                	Function            	
c_frame.c                     	                    	
   INITFRAME                  	HB_FUNC             	
h_getbox.prg                  	                    	
   _DefineGetBox              	Function            	
   _GetBoxSetNextFocus        	Static  Procedure   	
   _DataGetBoxRefresh         	Procedure           	
   _DataGetBoxSave            	Procedure           	
   OGETEVENTS                 	Function            	
   _SetGetBoxValue            	Procedure           	
   _SetGetBoxValidMessage     	Procedure           	
   _GetGetBoxValidMessage     	Function            	
   _RangeCheck                	Function            	
   _SetGetBoxColorFocus       	Function            	
   _DispGetBoxText            	Procedure           	
   _SetGetBoxCaret            	Static  Procedure   	
   _GetPictureData            	Function            	
   _FirstEditable             	Static  Function    	
   _IsEditable                	Static  Function    	
   _Input                     	Static  Function    	
   _GetDefinedStatusBarItemVal	Static  Function    	
c_getbox.c                    	                    	
   INITGETBOX                 	HB_FUNC             	
   CHECKBIT                   	HB_FUNC             	
   GETTEXTHEIGHT              	HB_FUNC             	
h_Gif89.prg                   	                    	
   _DefineAniGif              	Function            	
